estacao,ano,precip_total,rx1day,dias_chuva_forte,cdd,tmax_media
A426,2010,617.5999999999999,41.6,0,148,31.17506849315069
A426,2011,629.4,87.39999999999999,4,112,30.07040498442367
A426,2012,523.1999999999999,66.2,2,98,31.45409836065574
A426,2013,659.5999999999999,67.2,2,103,31.340821917808217
A426,2014,564.0,80.19999999999999,2,145,30.845753424657538
A426,2015,488.20000000000005,110.6,1,179,32.05945205479452
A426,2016,766.0,77.80000000000001,4,125,31.523809523809526
A426,2017,430.6,56.599999999999994,1,95,30.936986301369863
A426,2018,690.8,95.2,2,89,31.098618784530387
A426,2019,254.2,31.0,0,193,32.40247933884297
A426,2020,660.6,72.0,1,154,30.396994535519124
A427,2009,1831.8,113.6,4,40,28.497260273972604
A427,2010,1514.6,71.39999999999999,4,14,28.139452054794525
A427,2011,1629.4,98.0,4,19,27.5
A427,2012,1410.2000000000003,125.39999999999999,2,18,27.523595505617976
A427,2013,2095.0,95.6,6,14,27.836768802228406
A427,2014,1129.6,79.8,3,80,27.80520547945206
A427,2015,993.4,64.8,2,44,28.740557275541796
A427,2016,1482.0,129.20000000000002,3,25,28.801960784313724
A427,2017,1787.8000000000002,94.6,7,49,26.977089783281734
A427,2018,1638.3999999999999,65.60000000000001,3,15,27.790136986301373
A427,2019,1158.3999999999999,60.6,1,34,28.91795580110497
A427,2020,1158.6000000000001,62.8,2,106,28.523430962343102
A428,2008,466.0,57.2,1,35,28.260931899641577
A428,2009,769.2,80.0,3,34,29.376986301369865
A428,2010,854.2,51.6,1,36,28.90904109589041
A428,2011,632.4000000000001,46.4,0,30,28.914520547945205
A428,2012,325.0,63.0,1,62,29.632792207792214
A428,2013,823.0,81.2,3,84,29.439999999999998
A428,2014,399.2,51.6,1,166,28.658082191780824
A428,2015,420.59999999999997,50.4,1,64,30.479384615384614
A428,2016,381.2,96.4,1,76,29.913122171945698
A428,2017,383.79999999999995,23.6,0,75,29.058466453674118
A428,2018,583.0,41.800000000000004,0,38,29.73534246575342
A428,2019,580.2,87.6,2,34,30.36958904109589
A428,2020,864.4000000000001,90.6,1,33,28.95601092896175
A429,2008,331.2,61.6,1,182,33.045922746781116
A429,2009,1015.5999999999999,97.4,5,129,32.783013698630135
A429,2010,857.0,67.8,4,97,33.43013698630137
A429,2011,899.0,121.39999999999999,7,188,32.550969529085876
A429,2012,352.79999999999995,40.6,0,168,33.95865921787709
A429,2013,877.8000000000001,76.4,7,153,33.810136986301366
A429,2014,427.2,46.6,0,126,33.31479452054794
A429,2015,205.39999999999998,54.6,1,165,34.75616438356165
A429,2016,868.4,100.2,5,146,34.22322404371585
A429,2017,239.2,44.8,0,191,34.14745762711865
A429,2018,294.40000000000003,61.6,1,259,33.864383561643834
A429,2019,437.0,43.4,0,136,34.98602739726027
A429,2020,881.2,68.0,3,144,32.915846994535514
A430,2008,530.0,44.4,0,23,23.392116182572614
A430,2009,1300.8000000000002,64.2,4,24,24.27041095890411
A430,2010,1129.2,37.199999999999996,0,20,24.27013698630137
A430,2011,940.2,55.4,1,17,23.78520547945205
A430,2012,671.8000000000001,31.4,0,30,24.764754098360655
A430,2013,1042.8,49.4,0,17,24.580547945205485
A430,2014,938.4,69.0,1,22,23.94301369863014
A430,2015,852.0,52.0,3,21,24.93013698630137
A430,2016,42.400000000000006,4.8,0,102,24.803551912568306
A430,2017,73.0,18.2,0,211,24.128493150684932
A430,2018,1133.8,61.8,1,44,24.403013698630136
A430,2019,665.0,58.2,2,21,25.297260273972604
A430,2020,1432.8000000000002,67.8,3,23,23.627595628415296
A431,2008,1076.8000000000002,113.4,2,30,28.425373134328357
A431,2009,1880.4,171.4,8,27,29.288219178082194
A431,2010,1724.2000000000003,118.4,6,34,29.27260273972603
A431,2011,1411.4,125.6,7,30,29.19197530864197
A431,2012,1020.8,61.4,1,25,28.988524590163934
A431,2013,1292.1999999999998,72.60000000000001,2,32,29.177472527472528
A431,2014,1121.4,62.2,2,99,28.82182320441989
A431,2015,1262.8,60.2,5,140,29.405277777777776
A431,2016,856.6,78.2,2,49,28.7353125
A431,2017,962.8000000000001,93.60000000000001,4,99,28.67695652173913
A431,2018,1028.2,87.19999999999999,1,30,28.79972602739726
A431,2019,1349.2000000000003,96.8,3,24,29.00191780821918
A431,2020,2009.6,146.4,7,17,28.950546448087437
A432,2008,2.6000000000000005,1.6,0,179,32.63240223463688
